num_baths,num_beds,latitude,longitude,zip_code,property_class,sale_trans_date,sale_amount,universal_size,year_built,age_year,price,duplex,apartment,condo,townhouse,num_schools,district,num_crimes,Airbnb,Ask,Cisco,Craigslist,Ebates,eBay,Googleplex,Hearsay,LinkedIn,Lyft,Pinterest,Quora,Salesforce,SurveyMonkey,Twitter,Uber,Wikimedia,Workday,Yahoo,Yelp,YouTube,Zendesk,Zoosk,Facebook
0.0,0,37.80464,-122.405206,94111,Condominium (residential),2016-01-04,970000,1299,1993,23,746.7282525019244,0,0,1,0,5,NORTHERN,21040,2.2761831953699314,7.095956834499465,36.90944105036845,1.0103999089371791,1.1107627958621815,43.92262499022771,31.75761215729413,2.070897257762055,32.099835474959676,2.071969928658524,2.0374309377368984,33.77111051227939,1.0732909900621306,19.151904738417734,2.022601893467784,2.119179712725465,1.0726795574640229,27.512887776126966,33.919506841062834,1.2746286384123462,12.252847864134546,1.616944394420475,1.5614104226921761,26.244290866930694
1.0,1,37.797958,-122.399894,94111,Condominium (residential),2016-01-29,1300000,1189,2007,9,1093.3557611438184,0,0,1,0,5,NORTHERN,21040,1.0664055600851057,6.430851327000672,35.09072233704772,1.063364104825418,0.7941130769847731,42.063026706835366,29.88358197973593,0.3100638917208395,30.230737995987223,0.3062610716812681,0.6775175831999773,31.89036725713514,0.8169847784811373,17.296560534305428,1.513849864205999,1.6014776996201519,0.9771816432295932,26.252725759482747,32.06699943312833,0.7228277115654546,10.71900584755568,1.1615638838980389,1.117405480482074,24.3637020101474
2.0,0,37.803797,-122.404136,94111,Condominium (residential),2016-03-08,1475000,1423,1983,33,1036.5425158116657,0,0,1,0,5,NORTHERN,21040,1.9595762702085284,7.802266514403957,37.06299975488472,0.9302886256718276,1.406515632278052,43.995372192380685,31.788281004568248,2.062744122103066,32.14747506382678,2.066045377275775,1.8577566929460985,33.77061199571688,1.2564380890378648,18.959878662956463,1.4849282682816929,1.5598424577461427,1.0164071375787358,28.06905741751684,34.01057813076907,1.2711196924532946,11.765421527541356,1.2202123628899757,1.1928963831764183,26.247054114932343
2.0,0,37.803797,-122.404136,94111,Condominium (residential),2016-03-21,1400000,1518,1983,33,922.266139657444,0,0,1,0,5,NORTHERN,21040,1.1577514582050832,8.493287648314691,36.21498205179231,1.6075005208816096,2.129420495718328,42.99676247665953,30.732296358995967,1.8747202277193749,31.119298275446173,1.8807059564653807,1.4402153731065457,32.661144684038035,1.9384575865688864,17.596381825349578,0.5542784576374364,0.4629907836725742,1.6181650902196578,28.143432030606903,33.054255084764335,1.6734593744955617,10.108375757544144,0.9968139078712448,1.0633099807515258,25.155060964657537
0.0,0,37.80464,-122.405206,94111,Condominium (residential),2016-03-03,955000,1033,1993,23,924.4917715392062,0,0,1,0,5,NORTHERN,21040,5.569064709061826,12.780740472337534,39.66677707297024,5.661050031510432,6.255192608616527,46.12321768441249,33.791338124335326,6.279060307155527,34.23843078594883,6.2849634776018535,5.850364484757989,35.57936655793289,6.059810118639546,19.96770356278805,4.939165134898059,4.866496636141162,5.716205512310789,32.523418720690344,36.31422035138058,5.882058890296035,11.255354112310755,5.278323648562359,5.329572143424094,28.177927761867146
1.0,0,37.80363300000001,-122.406161,94111,Condominium (residential),2016-03-25,530000,477,1993,23,1111.111111111111,0,0,1,0,5,NORTHERN,21040,1.3157658942380663,8.610960882516007,35.24831464427329,2.4205638362194484,2.7811905336774045,41.9618320606461,29.678978356202126,2.0776669605369844,30.076997245010748,2.0829560236273483,1.7074637031378648,31.586269146588503,2.628034854608924,16.44728721899034,1.3434300636762413,1.2538081260129623,2.3935394695148124,27.70254163000305,32.04106529372887,2.3284432312776144,8.96401774436582,1.7588848923705918,1.8213318460861527,24.09088466409656
2.0,1,37.795354,-122.403632,94111,Condominium (residential),2016-03-30,1049000,1241,1984,32,845.286059629331,0,0,1,0,5,NORTHERN,21040,2.5860781967848423,9.110838406460552,37.84499847683548,2.0734405159532434,2.640488223073167,44.66602983897821,32.41077160785511,3.0188182868665625,32.792999607291236,3.0236861329886784,2.6763144012688835,34.34726842393924,2.4617027194873797,19.278852893056623,1.8934745605776,1.895064616083536,2.1475650464429283,29.285570363447057,34.713112025732386,2.3705945321801543,11.604822887748654,1.964529746980073,1.9844413189680452,26.83814925161741
0.0,0,37.803896,-122.405493,94111,Condominium (residential),2016-04-11,725000,668,1992,24,1085.3293413173653,0,0,1,0,5,NORTHERN,21040,3.5682165973910336,10.99420801321664,37.39588427963419,4.043333438721796,4.607650998645639,43.921482929084064,31.597730132158304,4.348052544061175,32.031315918955315,4.35405784373481,3.911939100769527,33.421941867704696,4.411046077372342,17.931268989153633,3.0649845484518936,2.969556086408152,4.072716502321838,30.325990091573445,34.078056577611946,4.1668636971087984,9.556520493293062,3.4964156193322258,3.5601040876877508,25.986780064751677
2.0,0,37.803797,-122.404136,94111,Condominium (residential),2016-05-03,1331000,1238,1983,33,1075.1211631663973,0,0,1,0,5,NORTHERN,21040,0.851025360462777,8.240692959827989,35.372025329409595,1.9345828665403304,2.2943691048293435,42.13829293193993,29.871010182021674,1.6379764888841677,30.259486597063923,1.6435612840482527,1.24397243835122,31.79800483332997,2.1395358627559298,16.747560066419233,0.8851941648005336,0.8072823874337399,1.9058741396578829,27.541572875175014,32.19971231225663,1.840033675215042,9.402169643225113,1.2765852184282784,1.3375599017278026,24.292582093106645
0.0,0,37.80464,-122.405206,94111,Condominium (residential),2016-05-13,750000,769,1993,23,975.2925877763327,0,0,1,0,5,NORTHERN,21040,0.7739054631881821,6.6915603419180485,35.08597082554098,1.0687996249993799,0.9650748182199348,42.02712518938455,29.831795188853732,0.08568136345360174,30.185407999536746,0.08924905223762421,0.3940560867538617,31.826866155401632,0.9282718080431108,17.15942896058266,1.280050312750863,1.3592468528482602,0.9846393251966548,26.415243508665927,32.03825695217127,0.7381053221240711,10.474780354364114,0.9889409890587656,0.9582928312303864,24.30113939199873
